N,sample_num,time_ns
150056.0,1.0,50.0
116446.0,2.0,50.0
139998.0,3.0,50.0
145446.0,4.0,50.0
108986.0,5.0,50.0
498402.0,6.0,50.0
446163.0,7.0,50.0
127417.0,8.0,50.0
265104.0,9.0,50.0
111461.0,10.0,50.0
472750.0,1.0,100.0
519219.0,2.0,100.0
636261.0,3.0,100.0
491420.0,4.0,100.0
601408.0,5.0,100.0
96162.0,6.0,100.0
102797.0,7.0,100.0
160606.0,8.0,100.0
507827.0,9.0,100.0
375388.0,10.0,100.0
2293801.0,1.0,500.0
3333977.0,2.0,500.0
2827014.0,3.0,500.0
560010.0,4.0,500.0
2222220.0,5.0,500.0
1050556.0,6.0,500.0
904255.0,7.0,500.0
827335.0,8.0,500.0
567929.0,9.0,500.0
484160.0,10.0,500.0
1664012.0,1.0,1000.0
1699264.0,2.0,1000.0
1769180.0,3.0,1000.0
2038810.0,4.0,1000.0
1938019.0,5.0,1000.0
1824264.0,6.0,1000.0
1678103.0,7.0,1000.0
1541377.0,8.0,1000.0
1610028.0,9.0,1000.0
1963005.0,10.0,1000.0
5.8307598E7,1.0,5000.0
4.4204727E7,2.0,5000.0
4.790906E7,3.0,5000.0
4.8963095E7,4.0,5000.0
4.3965158E7,5.0,5000.0
4.4021799E7,6.0,5000.0
4.7931254E7,7.0,5000.0
4.599536E7,8.0,5000.0
4.9272221E7,9.0,5000.0
4.6365591E7,10.0,5000.0
2.21532044E8,1.0,10000.0
2.4587874E8,2.0,10000.0
2.11467042E8,3.0,10000.0
2.05951988E8,4.0,10000.0
2.05929446E8,5.0,10000.0
1.93660207E8,6.0,10000.0
1.86292272E8,7.0,10000.0
1.84287985E8,8.0,10000.0
1.8667232E8,9.0,10000.0
3.22551679E8,10.0,10000.0
