N,sample_num,time_ns
182921.0,1.0,50.0
61883.0,2.0,50.0
133278.0,3.0,50.0
69979.0,4.0,50.0
65722.0,5.0,50.0
68152.0,6.0,50.0
288109.0,7.0,50.0
65953.0,8.0,50.0
53343.0,9.0,50.0
58596.0,10.0,50.0
118943.0,1.0,100.0
84357.0,2.0,100.0
63770.0,3.0,100.0
65594.0,4.0,100.0
63617.0,5.0,100.0
49749.0,6.0,100.0
23823.0,7.0,100.0
26161.0,8.0,100.0
27476.0,9.0,100.0
26510.0,10.0,100.0
155543.0,1.0,500.0
220384.0,2.0,500.0
191786.0,3.0,500.0
161679.0,4.0,500.0
145827.0,5.0,500.0
147510.0,6.0,500.0
147695.0,7.0,500.0
147567.0,8.0,500.0
155119.0,9.0,500.0
145983.0,10.0,500.0
472233.0,1.0,1000.0
347413.0,2.0,1000.0
321752.0,3.0,1000.0
357030.0,4.0,1000.0
319459.0,5.0,1000.0
317000.0,6.0,1000.0
364543.0,7.0,1000.0
226162.0,8.0,1000.0
228197.0,9.0,1000.0
240442.0,10.0,1000.0
2656449.0,1.0,5000.0
1643802.0,2.0,5000.0
1294937.0,3.0,5000.0
1281375.0,4.0,5000.0
1309388.0,5.0,5000.0
1315857.0,6.0,5000.0
1299214.0,7.0,5000.0
1457832.0,8.0,5000.0
1562504.0,9.0,5000.0
1962826.0,10.0,5000.0
3724639.0,1.0,10000.0
5574014.0,2.0,10000.0
1726416.0,3.0,10000.0
1688098.0,4.0,10000.0
1532576.0,5.0,10000.0
1409590.0,6.0,10000.0
1783240.0,7.0,10000.0
1350894.0,8.0,10000.0
1387139.0,9.0,10000.0
1789187.0,10.0,10000.0
